Model,Fold,MSE,Rank
PercentileTrimmingRandomForestRegressor,2,2586638.389908178,1
RandomForestRegressor,2,2606585.5957983006,2
IQRRandomForestRegressor,2,2608879.0319674998,3
OOBPlusIQRRandomForestRegressor,2,2610999.4201407433,4
OOBRandomForestRegressor,2,2610999.4201407433,4
SharedKnowledgeRandomForestRegressor,2,2640162.6761934147,5
RandomForestRegressor,6,2723818.5715591423,6
OOBRandomForestRegressor,6,2730009.5329751126,7
OOBPlusIQRRandomForestRegressor,6,2730009.5329751126,7
IQRRandomForestRegressor,6,2755544.199483092,8
PercentileTrimmingRandomForestRegressor,6,2764823.864573856,9
OOBPlusIQRRandomForestRegressor,9,2866219.7242040234,10
OOBRandomForestRegressor,9,2866219.7242040234,10
RandomForestRegressor,9,2878469.4473986365,11
PercentileTrimmingRandomForestRegressor,9,2888149.474816866,12
IQRRandomForestRegressor,9,2891453.0861822786,13
SharedKnowledgeRandomForestRegressor,6,2940591.335414828,14
SharedKnowledgeRandomForestRegressor,9,3011622.1949603027,15
OOBRandomForestRegressor,8,3188177.2087248275,16
OOBPlusIQRRandomForestRegressor,8,3188177.2087248275,16
PercentileTrimmingRandomForestRegressor,8,3206558.6244204226,17
IQRRandomForestRegressor,8,3221124.593958462,18
RandomForestRegressor,8,3235786.2738639517,19
SharedKnowledgeRandomForestRegressor,8,3381496.693619834,20
IQRRandomForestRegressor,10,3459193.59503867,21
PercentileTrimmingRandomForestRegressor,10,3460166.3167786463,22
RandomForestRegressor,10,3472916.1921019168,23
OOBPlusIQRRandomForestRegressor,10,3496174.839700495,24
OOBRandomForestRegressor,10,3496174.839700495,24
SharedKnowledgeRandomForestRegressor,10,3577503.647761164,25
IQRRandomForestRegressor,3,3801505.0963648977,26
OOBRandomForestRegressor,3,3810609.158652444,27
OOBPlusIQRRandomForestRegressor,3,3810609.158652444,27
PercentileTrimmingRandomForestRegressor,3,3823455.370389035,28
RandomForestRegressor,3,3847113.7885707957,29
SharedKnowledgeRandomForestRegressor,3,3920179.600804501,30
RandomForestRegressor,5,4891204.7600632245,31
OOBRandomForestRegressor,5,4985296.073870717,32
OOBPlusIQRRandomForestRegressor,5,4985296.073870717,32
PercentileTrimmingRandomForestRegressor,5,4986245.633740864,33
IQRRandomForestRegressor,5,5002598.283909681,34
SharedKnowledgeRandomForestRegressor,5,5188220.074419067,35
RandomForestRegressor,4,6191112.335184907,36
OOBRandomForestRegressor,4,6271041.0374688255,37
OOBPlusIQRRandomForestRegressor,4,6271041.0374688255,37
IQRRandomForestRegressor,4,6281037.71691122,38
PercentileTrimmingRandomForestRegressor,4,6337694.109014798,39
SharedKnowledgeRandomForestRegressor,4,6457450.3916007355,40
SharedKnowledgeRandomForestRegressor,1,8778589.235577764,41
OOBPlusIQRRandomForestRegressor,1,8972115.10001776,42
OOBRandomForestRegressor,1,8972115.10001776,42
IQRRandomForestRegressor,1,9269592.569111116,43
PercentileTrimmingRandomForestRegressor,1,9363809.274530755,44
RandomForestRegressor,1,9754200.380238332,45
IQRRandomForestRegressor,7,9797933.865985045,46
RandomForestRegressor,7,9823449.814909099,47
OOBPlusIQRRandomForestRegressor,7,9828175.421995182,48
OOBRandomForestRegressor,7,9828175.421995182,48
SharedKnowledgeRandomForestRegressor,7,9857562.247330632,49
PercentileTrimmingRandomForestRegressor,7,9890866.668315459,50
