n_estimators,group_size,max_depth
160,5,17
160,4,17
180,3,21
180,3,18
200,50,17
150,50,20
150,3,39
150,3,34
150,3,36
150,3,38
180,3,28
180,3,34
180,3,42
180,3,47
180,4,17
180,4,20
180,30,16
350,7,20
180,6,20
90,3,20
270,45,20
180,20,16
180,45,28
180,30,19
270,3,14
240,3,38
240,3,32
240,3,36
240,3,28
250,10,20
210,10,19
210,3,42
210,3,41
260,4,20
150,50,19
400,4,20
180,20,44
180,20,46
180,20,28
180,20,33
150,3,15
270,3,32
270,3,47
160,40,16
600,3,20
160,20,37
160,20,39
170,10,18
180,20,18
270,30,19
700,7,22
750,3,34
1500,3,27
600,3,22
180,4,38
180,4,42
180,4,40
750,3,41
180,3,43
750,3,30
900,3,34
150,3,35
150,3,45
600,3,31
600,3,21
450,3,38
180,3,23
270,3,34
270,3,38
300,3,23
300,3,41
300,3,37
300,3,45
300,3,42
700,7,28
300,3,28
1500,4,44
170,5,45
180,5,44
180,3,30
140,4,44
140,4,43
140,4,40
140,4,33
240,3,47
1500,6,29
120,3,33
120,3,34
180,5,34
700,7,49
700,7,45
700,7,47
700,7,42
1500,3,18
700,4,45
700,4,43
90,3,19
60,3,12
90,3,32
90,3,44
90,3,31
180,4,12
150,3,12
600,3,15
80,5,12
450,3,11
180,3,14
600,3,16
270,3,17
80,10,12
210,3,19
600,3,39
240,3,14
90,10,12
240,3,19
450,3,18
270,3,25
600,3,24
300,3,44
300,3,34
300,3,46
300,3,47
300,3,39
900,3,10
270,3,23
90,3,23
750,3,10
180,5,12
120,3,35
120,3,37
120,3,44
120,3,31
180,3,22
120,3,28
900,3,19
700,4,12
500,4,11
750,3,39
900,3,36
900,3,33
900,3,41
1500,3,10
900,3,28
180,3,31
180,3,49
